question,answer
台灣最高峰?,玉山
元素週期表第一位?,氫
圓周率約多少?,3.14
台灣最長河?,濁水溪
日本貨幣?,日圓
電腦大腦?,CPU
發現萬有引力?,牛頓
提出相對論?,愛因斯坦
詩仙?,李白
詩聖?,杜甫
關羽過五關斬幾將?,6
籃球一隊人數?,5
棒球一隊人數?,9
奧運幾年一次?,4
辛亥革命年份?,1911
水的冰點?,0
成人骨頭數?,206
最大洋?,太平洋
人口最多國(2023)?,印度
美國獨立年?,1776
二戰結束年?,1945
台灣光復年?,1945
1公斤幾克?,1000
1小時幾秒?,3600
直角幾度?,90
沙漠之舟?,駱駝
澳洲國寶?,無尾熊
熊貓產地?,中國
自由女神城市?,紐約
艾菲爾鐵塔城市?,巴黎
大笨鐘城市?,倫敦
金字塔國家?,埃及
泰姬瑪哈陵國家?,印度
萬里長城國家?,中國
羅馬競技場國家?,義大利
巴西首都?,巴西利亞
加拿大首都?,渥太華
澳洲首都?,坎培拉
越南首都?,河內
泰國首都?,曼谷
韓國首都?,首爾
菲律賓首都?,馬尼拉
馬來西亞首都?,吉隆坡
新加坡首都?,新加坡
印尼首都?,雅加達
德國首都?,柏林
法國首都?,巴黎
英國首都?,倫敦
義大利首都?,羅馬
西班牙首都?,馬德里
葡萄牙首都?,里斯本
荷蘭首都?,阿姆斯特丹
比利時首都?,布魯塞爾
瑞士首都?,伯恩
奧地利首都?,維也納
希臘首都?,雅典
土耳其首都?,安卡拉
俄羅斯首都?,莫斯科
埃及首都?,開羅
南非首都?,普勒托利亞
阿根廷首都?,布宜諾斯艾利斯
智利首都?,聖地牙哥
秘魯首都?,利馬
哥倫比亞首都?,波哥大
委內瑞拉首都?,卡拉卡斯
墨西哥首都?,墨西哥城
紐西蘭首都?,威靈頓
變聲氣體?,氦氣
鑽石成分?,碳
鉛筆芯成分?,石墨
乾冰是?,二氧化碳
酒精化學名?,乙醇
食鹽化學名?,氯化鈉
胃酸成分?,鹽酸
常溫液態金屬?,汞
導電最好金屬?,銀
最硬礦物?,鑽石
地殼最多元素?,氧
空氣最多氣體?,氮氣
太陽主要成分?,氫
最近太陽行星?,水星
最遠太陽行星?,海王星
有光環行星?,土星
紅色星球?,火星
地球衛星?,月球
光年單位?,距離
真空傳聲?,否
光三原色?,紅綠藍
顏料三原色?,紅黃藍
鋼琴鍵數?,88
小提琴弦數?,4
吉他弦數?,6
圍棋交叉點?,361
象棋子數?,32
撲克牌張數?,54
麻將張數?,144
奧運五環?,5
諾貝爾沒什麼獎?,數學
網際網路簡稱?,網路
蘋果手機系統?,iOS